Tabela 2 - Gorduras e açúcar na composição de alimentos por 100 gramas de parte comestível,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,(continuação)
Código e descrição do alimento ,,Código e descrição da preparação,,"Coles-
terol
(mg)","AG
Satura-
dos
(g)","AG
Mono 
(g)","AG
Poli 
(g)","AG
Lino-
léico 
(g)","AG
Linolê-
nico 
(g)","AG
Trans
total
(g)","Açúcar
total
(g)","Açúcar
de
adição
(g)"
Cereais e leguminosas,,,,,,,,,,,,
6601108,Tucumã,99,Não se aplica,-,-,-,-,-,-,-,-,-
6601208,Coco de mucajá,99,Não se aplica,-,"7,10","25,30","6,50","6,18","0,30",-,-,-
6601501,Noz (nogueira),99,Não se aplica,-,"6,13","8,93","47,17","38,09","9,08",-,"2,60",-
6601706,Açaí ,99,Não se aplica,-,-,-,-,-,-,-,-,-
6601707,Juçara,99,Não se aplica,-,-,-,-,-,-,-,-,-
6601709,Uaçaí,99,Não se aplica,-,-,-,-,-,-,-,-,-
6601712,Jussara,99,Não se aplica,-,-,-,-,-,-,-,-,-
6601805,Pupunha,99,Não se aplica,-,"0,13","0,10","0,20","0,18","0,02",-,-,-
6601902,Bacaba,99,Não se aplica,-,-,-,-,-,-,-,-,-
6601904,Bacabuçu,99,Não se aplica,-,-,-,-,-,-,-,-,-
6602001,Castanha-da-índia,99,Não se aplica,-,"15,14","24,55","20,58","20,54","0,04",-,"2,33",-
6602201,Pistache,99,Não se aplica,-,"5,44","23,32","13,46","13,20","0,25",-,"7,64",-
6602301,Buriti ,99,Não se aplica,-,-,-,-,-,-,-,-,-
6602401,Coco ,99,Não se aplica,-,"29,70","1,43","0,37","0,37",-,-,"3,50",-
